iter	Passed	Remaining
643	976	539
644	978	538
645	979	536
646	980	535
647	981	533
648	983	532
649	984	530
650	985	528
651	986	526
652	988	525
653	990	523
654	991	522
655	992	520
656	995	519
657	995	517
658	999	517
659	1000	515
660	1002	514
661	1003	512
662	1004	510
663	1007	509
664	1008	508
665	1009	506
666	1010	504
667	1012	503
668	1013	501
669	1013	499
670	1014	497
671	1017	496
672	1018	494
673	1019	492
674	1021	491
675	1023	490
676	1023	488
677	1024	486
678	1027	485
679	1028	483
680	1028	481
681	1029	480
682	1032	478
683	1032	477
684	1033	475
685	1034	473
686	1037	472
687	1038	471
688	1039	469
689	1042	468
690	1043	466
691	1044	464
692	1045	463
693	1047	461
694	1054	462
695	1058	462
696	1060	461
697	1064	460
698	1066	459
699	1069	458
700	1071	456
701	1073	455
702	1074	454
703	1075	452
704	1079	451
705	1081	450
706	1084	449
707	1085	447
708	1086	445
709	1089	445
710	1090	443
711	1094	442
712	1095	441
713	1096	439
714	1100	438
715	1101	436
716	1103	435
717	1105	434
718	1106	432
719	1109	431
720	1110	429
721	1111	428
722	1115	427
723	1116	425
724	1120	424
725	1121	423
726	1123	422
727	1124	420
728	1125	418
729	1126	416
730	1129	415
731	1130	413
732	1132	412
733	1133	410
734	1135	409
735	1137	407
736	1138	406
737	1139	404
738	1140	402
739	1142	401
740	1143	399
741	1144	397
742	1146	396
743	1147	394
744	1148	393
745	1150	391
746	1151	390
747	1152	388
748	1154	386
749	1156	385
750	1157	383
751	1158	382
752	1159	380
753	1162	379
754	1164	377
755	1164	375
756	1165	374
757	1169	373
758	1170	371
759	1172	370
760	1174	368
761	1175	367
762	1176	365
763	1178	364
764	1179	362
765	1180	360
766	1182	359
767	1183	357
768	1184	355
769	1185	354
770	1187	352
771	1189	351
772	1190	349
773	1191	348
774	1193	346
775	1194	344
776	1195	343
777	1197	341
778	1198	339
779	1199	338
780	1200	336
781	1202	335
782	1203	333
783	1204	331
784	1207	330
785	1208	328
786	1209	327
787	1210	325
788	1212	324
789	1213	322
790	1214	320
791	1217	319
792	1218	318
793	1219	316
794	1220	314
795	1222	313
796	1223	311
797	1224	309
798	1225	308
799	1227	306
800	1228	305
801	1229	303
802	1230	301
803	1232	300
804	1233	298
805	1234	297
806	1235	295
807	1236	293
808	1237	292
809	1238	290
810	1239	288
811	1240	287
812	1242	285
813	1243	284
814	1244	282
815	1245	280
816	1247	279
817	1248	277
818	1249	276
819	1250	274
820	1252	273
821	1253	271
822	1254	269
823	1254	268
824	1257	266
825	1258	265
826	1259	263
827	1260	261
828	1262	260
829	1263	258
830	1264	257
831	1265	255
832	1267	254
833	1268	252
834	1269	250
835	1270	249
836	1272	247
837	1272	246
838	1273	244
839	1276	243
840	1277	241
841	1278	239
842	1278	238
843	1281	236
844	1282	235
845	1283	233
846	1283	231
847	1286	230
848	1287	228
849	1288	227
850	1289	225
851	1291	224
852	1292	222
853	1292	221
854	1293	219
855	1295	217
856	1296	216
857	1297	214
858	1298	213
859	1299	211
860	1300	209
861	1301	208
862	1302	206
863	1304	205
864	1305	203
865	1306	202
866	1307	200
867	1309	199
868	1310	197
869	1311	195
870	1312	194
871	1313	192
872	1315	191
873	1316	189
874	1317	188
875	1320	186
876	1321	185
877	1322	183
878	1325	182
879	1326	180
880	1327	179
881	1329	177
882	1330	176
883	1331	174
884	1332	173
885	1333	171
886	1335	170
887	1336	168
888	1337	166
889	1338	165
890	1340	163
891	1341	162
892	1342	160
893	1343	159
894	1345	157
895	1346	156
896	1347	154
897	1348	153
898	1350	151
899	1351	150
900	1352	148
901	1353	147
902	1355	145
903	1356	144
904	1357	142
905	1359	141
906	1360	139
907	1361	137
908	1363	136
909	1365	135
910	1366	133
911	1367	131
912	1368	130
913	1370	128
914	1371	127
915	1372	125
916	1373	124
917	1375	122
918	1376	121
919	1377	119
920	1378	118
921	1380	116
922	1381	115
923	1382	113
924	1383	112
925	1385	110
926	1386	109
927	1387	107
928	1388	106
929	1390	104
930	1391	103
931	1392	101
932	1392	100
933	1394	98
934	1395	97
935	1396	95
936	1397	93
937	1398	92
938	1400	90
939	1401	89
940	1402	87
941	1405	86
942	1406	85
943	1407	83
944	1408	81
945	1410	80
946	1411	78
947	1412	77
948	1415	76
949	1416	74
950	1420	73
951	1421	71
952	1423	70
953	1426	68
954	1428	67
955	1431	65
956	1432	64
957	1432	62
958	1433	61
959	1435	59
960	1436	58
961	1437	56
962	1438	55
963	1440	53
964	1441	52
965	1442	50
966	1443	49
967	1445	47
968	1446	46
969	1447	44
970	1448	43
971	1450	41
972	1451	40
973	1452	38
974	1453	37
975	1456	35
976	1457	34
977	1458	32
978	1459	31
979	1461	29
980	1462	28
981	1463	26
982	1464	25
983	1466	23
984	1466	22
985	1467	20
986	1469	19
987	1471	17
988	1471	16
989	1472	14
990	1473	13
991	1476	11
992	1477	10
993	1477	8
994	1478	7
995	1480	5
996	1481	4
997	1482	2
998	1483	1
999	1485	0
